"B19013_001E","B19013_001M","GEO_ID","NAME"
"Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","id","Geographic Area Name"
"103466","10635","1500000US060750101001","Block Group 1, Census Tract 101, San Francisco County, California"
"32087","15754","1500000US060750101002","Block Group 2, Census Tract 101, San Francisco County, California"
"166630","67576","1500000US060750102001","Block Group 1, Census Tract 102, San Francisco County, California"
"144358","33434","1500000US060750102002","Block Group 2, Census Tract 102, San Francisco County, California"
"152692","19092","1500000US060750102003","Block Group 3, Census Tract 102, San Francisco County, California"
"152167","22973","1500000US060750103001","Block Group 1, Census Tract 103, San Francisco County, California"
"145197","35416","1500000US060750103002","Block Group 2, Census Tract 103, San Francisco County, California"
"137143","129561","1500000US060750103003","Block Group 3, Census Tract 103, San Francisco County, California"
"165500","113756","1500000US060750104001","Block Group 1, Census Tract 104, San Francisco County, California"
"107500","25976","1500000US060750104002","Block Group 2, Census Tract 104, San Francisco County, California"
"165391","48819","1500000US060750104003","Block Group 3, Census Tract 104, San Francisco County, California"
"-","**","1500000US060750104004","Block Group 4, Census Tract 104, San Francisco County, California"
"135288","80050","1500000US060750105001","Block Group 1, Census Tract 105, San Francisco County, California"
"135313","37934","1500000US060750105002","Block Group 2, Census Tract 105, San Francisco County, California"
"113929","58513","1500000US060750106001","Block Group 1, Census Tract 106, San Francisco County, California"
"35682","15932","1500000US060750106002","Block Group 2, Census Tract 106, San Francisco County, California"
"36049","9979","1500000US060750106003","Block Group 3, Census Tract 106, San Francisco County, California"
"-","**","1500000US060750107001","Block Group 1, Census Tract 107, San Francisco County, California"
"32386","26745","1500000US060750107002","Block Group 2, Census Tract 107, San Francisco County, California"
"22746","4369","1500000US060750107003","Block Group 3, Census Tract 107, San Francisco County, California"
"21000","4113","1500000US060750107004","Block Group 4, Census Tract 107, San Francisco County, California"
"202381","40558","1500000US060750108001","Block Group 1, Census Tract 108, San Francisco County, California"
"70156","19612","1500000US060750108002","Block Group 2, Census Tract 108, San Francisco County, California"
"127232","31496","1500000US060750108003","Block Group 3, Census Tract 108, San Francisco County, California"
"141838","98414","1500000US060750109001","Block Group 1, Census Tract 109, San Francisco County, California"
"172759","37477","1500000US060750109002","Block Group 2, Census Tract 109, San Francisco County, California"
"92634","38291","1500000US060750109003","Block Group 3, Census Tract 109, San Francisco County, California"
"-","**","1500000US060750110001","Block Group 1, Census Tract 110, San Francisco County, California"
"120723","26044","1500000US060750110002","Block Group 2, Census Tract 110, San Francisco County, California"
"118750","64842","1500000US060750110003","Block Group 3, Census Tract 110, San Francisco County, California"
"107435","26642","1500000US060750111001","Block Group 1, Census Tract 111, San Francisco County, California"
"119576","25405","1500000US060750111002","Block Group 2, Census Tract 111, San Francisco County, California"
"88875","36725","1500000US060750111003","Block Group 3, Census Tract 111, San Francisco County, California"
"100795","43813","1500000US060750112001","Block Group 1, Census Tract 112, San Francisco County, California"
"160682","54861","1500000US060750112002","Block Group 2, Census Tract 112, San Francisco County, California"
"140542","74108","1500000US060750112003","Block Group 3, Census Tract 112, San Francisco County, California"
"50449","11323","1500000US060750113001","Block Group 1, Census Tract 113, San Francisco County, California"
"20391","12213","1500000US060750113002","Block Group 2, Census Tract 113, San Francisco County, California"
"53684","33773","1500000US060750117001","Block Group 1, Census Tract 117, San Francisco County, California"
"68333","21142","1500000US060750117002","Block Group 2, Census Tract 117, San Francisco County, California"
"37656","8980","1500000US060750118001","Block Group 1, Census Tract 118, San Francisco County, California"
"117042","10302","1500000US060750119011","Block Group 1, Census Tract 119.01, San Francisco County, California"
"98173","13680","1500000US060750119012","Block Group 2, Census Tract 119.01, San Francisco County, California"
"83438","12313","1500000US060750119021","Block Group 1, Census Tract 119.02, San Francisco County, California"
"95125","37708","1500000US060750119022","Block Group 2, Census Tract 119.02, San Francisco County, California"
"51546","5330","1500000US060750120001","Block Group 1, Census Tract 120, San Francisco County, California"
"55938","37375","1500000US060750120002","Block Group 2, Census Tract 120, San Francisco County, California"
"72455","7479","1500000US060750121001","Block Group 1, Census Tract 121, San Francisco County, California"
"79712","14853","1500000US060750121002","Block Group 2, Census Tract 121, San Francisco County, California"
"83125","26279","1500000US060750122011","Block Group 1, Census Tract 122.01, San Francisco County, California"
"44302","14898","1500000US060750122012","Block Group 2, Census Tract 122.01, San Francisco County, California"
"31538","12624","1500000US060750122021","Block Group 1, Census Tract 122.02, San Francisco County, California"
"29432","10770","1500000US060750123011","Block Group 1, Census Tract 123.01, San Francisco County, California"
"30775","5647","1500000US060750123012","Block Group 2, Census Tract 123.01, San Francisco County, California"
"80815","12511","1500000US060750123021","Block Group 1, Census Tract 123.02, San Francisco County, California"
"37107","5094","1500000US060750123022","Block Group 2, Census Tract 123.02, San Francisco County, California"
"30857","22946","1500000US060750124011","Block Group 1, Census Tract 124.01, San Francisco County, California"
"34722","15441","1500000US060750124012","Block Group 2, Census Tract 124.01, San Francisco County, California"
"52206","47158","1500000US060750124021","Block Group 1, Census Tract 124.02, San Francisco County, California"
"123589","42154","1500000US060750124022","Block Group 2, Census Tract 124.02, San Francisco County, California"
"-","**","1500000US060750124023","Block Group 3, Census Tract 124.02, San Francisco County, California"
"32787","13374","1500000US060750125011","Block Group 1, Census Tract 125.01, San Francisco County, California"
"20262","11463","1500000US060750125012","Block Group 2, Census Tract 125.01, San Francisco County, California"
"13871","3215","1500000US060750125021","Block Group 1, Census Tract 125.02, San Francisco County, California"
"23958","16078","1500000US060750125022","Block Group 2, Census Tract 125.02, San Francisco County, California"
"149485","14261","1500000US060750126011","Block Group 1, Census Tract 126.01, San Francisco County, California"
"203024","54780","1500000US060750126021","Block Group 1, Census Tract 126.02, San Francisco County, California"
"108700","32069","1500000US060750126022","Block Group 2, Census Tract 126.02, San Francisco County, California"
"151745","26697","1500000US060750127001","Block Group 1, Census Tract 127, San Francisco County, California"
"164844","70279","1500000US060750127002","Block Group 2, Census Tract 127, San Francisco County, California"
"134482","54847","1500000US060750127003","Block Group 3, Census Tract 127, San Francisco County, California"
"210156","75750","1500000US060750128001","Block Group 1, Census Tract 128, San Francisco County, California"
"250,000+","***","1500000US060750128002","Block Group 2, Census Tract 128, San Francisco County, California"
"167250","89378","1500000US060750128003","Block Group 3, Census Tract 128, San Francisco County, California"
"91250","49535","1500000US060750128004","Block Group 4, Census Tract 128, San Francisco County, California"
"154345","39734","1500000US060750129011","Block Group 1, Census Tract 129.01, San Francisco County, California"
"155577","33100","1500000US060750129012","Block Group 2, Census Tract 129.01, San Francisco County, California"
"144107","75227","1500000US060750129021","Block Group 1, Census Tract 129.02, San Francisco County, California"
"175187","29171","1500000US060750129022","Block Group 2, Census Tract 129.02, San Francisco County, California"
"108523","14703","1500000US060750129023","Block Group 3, Census Tract 129.02, San Francisco County, California"
"165607","7068","1500000US060750130001","Block Group 1, Census Tract 130, San Francisco County, California"
"170179","67872","1500000US060750130002","Block Group 2, Census Tract 130, San Francisco County, California"
"202500","71310","1500000US060750130003","Block Group 3, Census Tract 130, San Francisco County, California"
"171917","82645","1500000US060750130004","Block Group 4, Census Tract 130, San Francisco County, California"
"200395","36837","1500000US060750131011","Block Group 1, Census Tract 131.01, San Francisco County, California"
"159135","44256","1500000US060750131012","Block Group 2, Census Tract 131.01, San Francisco County, California"
"123393","34026","1500000US060750131021","Block Group 1, Census Tract 131.02, San Francisco County, California"
"204803","27996","1500000US060750131022","Block Group 2, Census Tract 131.02, San Francisco County, California"
"182895","57607","1500000US060750132001","Block Group 1, Census Tract 132, San Francisco County, California"
"250,000+","***","1500000US060750132002","Block Group 2, Census Tract 132, San Francisco County, California"
"241167","74953","1500000US060750132003","Block Group 3, Census Tract 132, San Francisco County, California"
"244250","72708","1500000US060750133001","Block Group 1, Census Tract 133, San Francisco County, California"
"210625","57194","1500000US060750133002","Block Group 2, Census Tract 133, San Francisco County, California"
"65227","45876","1500000US060750133003","Block Group 3, Census Tract 133, San Francisco County, California"
"250,000+","***","1500000US060750133004","Block Group 4, Census Tract 133, San Francisco County, California"
"173875","82722","1500000US060750133005","Block Group 5, Census Tract 133, San Francisco County, California"
