,Parcel Number,Number of Rooms,Property Area,Total Taxable Value
0,0001001,0.0,0.0,0.0
1,0002001,0.0,0.0,0.0
2,0004002,0.0,0.0,0.0
3,0005001,0.0,0.0,0.0
4,0006001,0.0,0.0,0.0
5,0007001,0.0,0.0,0.0
6,0010001,0.0,133675.0,22272940.0
7,0010002,144.0,116480.0,1.0
8,0011007,0.0,0.0,64055914.0
9,0011008,36.0,198525.0,48395183.0
10,0012001,19.0,24627.0,18090629.0
11,0012002,9.0,6874.142857142857,3287420.0
12,0012003,5.0,6800.0,2278146.0
13,0012003A,0.0,6100.0,4507746.0
14,0012005,2.0,4000.0,1580685.0
15,0012006,1.0,3500.0,1383008.0
16,0012007,2.0,2500.0,1439815.0
17,0012007A,11.0,15397.0,1963260.0
18,0013001,4.0,3281.0,869416.0
19,0013004,7.0,81488.0,4437006.0
20,0013005,15.0,54068.0,5631970.0
21,0013006,30.0,40017.0,3751879.0
22,0013006A,12.0,6776.0,558753.0
23,0013007,9.0,8954.0,840952.0
24,0013009,63.0,15882.0,1572972.0
25,0013010,0.0,0.0,0.0
26,0013016,0.0,0.0,29910308.0
27,0014001,295.0,220932.0,53659507.0
28,0015001,5.0,0.0,0.0
29,0016001,0.0,0.0,0.0
30,0017002,145.0,158500.0,0.0
31,0018001,104.0,104424.0,38727984.0
32,0018004,49.0,43366.0,10051680.0
33,0018005,64.0,69204.0,19452413.0
34,0019001,0.0,11640.0,0.0
35,0020001,193.71428571428572,115507.42857142857,113304672.0
36,0021001,25.0,31656.0,6874991.0
37,0022001,5.0,8793.285714285714,7411680.0
38,0022010,243.0,73000.0,32933435.0
39,0022012,0.0,0.0,141028.0
40,0022014,9.0,19733.0,1673491.0
41,0022015,252.0,164650.0,60853806.0
42,0023002,35.0,21556.0,7000940.0
43,0023003,9.0,15706.0,2547501.0
44,0023004,0.0,0.0,4216409.0
45,0023005,343.0,249352.0,26629994.0
46,0024001,2.0,0.0,0.0
47,0024011,2.0,3750.0,248766.0
48,0024012,65.0,28444.0,6272202.0
49,0024015,8.0,4005.0,1588818.0
50,0024016,16.0,3955.0,1588818.0
51,0024017,7.0,2800.0,1400667.0
52,0024018,13.0,7823.0,2251936.0
53,0024019,0.0,4500.0,1435179.0
54,0024020,5.0,1600.0,248800.0
55,0024021,10.0,2900.0,922288.0
56,0024022,14.0,4890.0,1241547.0
57,0024025,20.0,68312.0,23605129.0
58,0025003,0.0,4670.0,1882607.0
