record_id,issued_date,zipcode,neighborhoods_analysis_boundaries,proposed_use,description,revised_cost,site_permit,plansets,permit_creation_date,status_date,first_construction_document_date,filed_date,street_name,block,estimated_cost,permit_expiration_date,permit_type_definition,status,completed_date,permit_number,lot,street_suffix,proposed_units,permit_type,number_of_proposed_stories,supervisor_district,street_number,geometry,wait_time,year,Parcel Number
1617325518499,2021-10-20,94121,Bayview Hunters Point,public assmbly other,to erect a 1 story type v building for sfmta fare collection,9300000.0,True,2,2021-05-20T00:00:00,2021-10-20,,2021-05-26,25th,4300,9300000.0,2027-09-19,new construction wood frame,issued,,202105261128,001,St,0.0,2,1.0,10,401,POINT (-122.3833669641401 37.75244380220047),147.0,2021,4300001
1617322518499,2021-10-20,94121,Bayview Hunters Point,public assmbly other,to erect a 1 story type v building for sfmta,13400000.0,True,2,2021-05-20T00:00:00,2021-10-20,,2021-05-20,25th,4300,13400000.0,2027-09-19,new construction wood frame,issued,,202105200695,001,St,0.0,2,1.0,10,401,POINT (-122.3833669641401 37.75244380220047),153.0,2021,4300001
1617324518499,2021-10-20,94121,Bayview Hunters Point,public assmbly other,to erect a 1 story type v building for sfmta bus wash,9300000.0,True,2,2021-05-20T00:00:00,2021-10-20,,2021-05-26,25th,4300,9300000.0,2027-09-19,new construction wood frame,issued,,202105261127,001,St,0.0,2,1.0,10,401,POINT (-122.3833669641401 37.75244380220047),147.0,2021,4300001
1613267517972,2021-11-12,94134,McLaren Park,recreation bldg,"to erect a one story, no dwelling, no basement, type v-b building. new recreation center and herz playground improvements. interior gymnasium and multipurpose room, supporting office space, storage, kitchen. exterior fitness plaza, outdoor recreation spaces. small maintenance shed/yard.",10000000.0,True,2,2021-03-26T00:00:00,2021-11-12,,2021-03-26,Hahn,6220,10000000.0,2027-10-12,new construction wood frame,issued,,202103267409,002,St,0.0,2,1.0,10,160,POINT (-122.4163554123144 37.71747881878296),231.0,2021,6220002
1628996520161,2021-11-16,94134,Portola,misc group residns.,"to erect 1 story r-3 occupancy , no basement, type v-b, housing recovery residents.",160000.0,False,2,2021-03-19T00:00:00,2021-11-16,,2021-03-19,Bacon,5992A,100000.0,2024-10-31,new construction wood frame,issued,,202103196894,072,St,1.0,2,1.0,9,1310,POINT (-122.4161703173775 37.72578977315479),242.0,2021,5992A072
1612385518290,2021-08-13,94158,Mission Bay,apartments,"priority project mayor ed  17-02 & 13-01. 100% affordable housing. project consist of new construction of approx. 180,636 gsf, sprinklered. type i-b (concrete & steel rooftop structures), 8-story, residential building w/148 affordable condos, utility infrastructure, landscaping. (r-2, s-2, a-3, b)",80000000.0,True,2,2021-03-16T00:00:00,2021-08-13,,2021-03-16,China Basin,8719,80000000.0,2027-07-13,new construction,issued,,202103166613,005,St,148.0,1,8.0,6,400,POINT (-122.3876006887564 37.77258484186844),150.0,2021,8719005
1611895493955,2021-11-04,94112,Outer Mission,vacant lot,erect (1) car detached private parking garage.,60000.0,True,2,2021-03-09T00:00:00,2021-11-04,,2021-03-09,Cayuga,6954,60000.0,2022-10-30,new construction wood frame,issued,,202103096157,037,Av,0.0,2,1.0,11,917,POINT (-122.4388365120864 37.72316347244262),240.0,2021,6954037
1607083511760,2021-08-31,94158,Mission Bay,office,"construction of a 7-story, type 1-a, warm shell and core for approximately 192,000 gross square feet of lab/office.",68000000.0,True,2,2020-12-28T00:00:00,2021-08-31,,2020-12-28,Owens,8709,68000000.0,2027-07-31,new construction,issued,,202012281760,017,St,0.0,1,7.0,6,1450,POINT (-122.396476679871 37.76914666842553),246.0,2021,8709017
1629207520168,2021-12-01,94134,Visitacion Valley,2 family dwelling,(n) streamlined detached accessory dwelling unit,235000.0,False,1,2020-12-07T00:00:00,2021-12-01,,2020-12-07,Raymond,6246,150000.0,2024-11-15,new construction wood frame,issued,,202012070383,037,Av,1.0,2,2.0,10,249,POINT (-122.4082537833165 37.71331700779682),359.0,2021,6246037
1603841517821,2021-10-12,94134,Visitacion Valley,1 family dwelling,"to erect 2 stories, no basement, type v-b, single family dwelling.",600000.0,True,2,2020-11-13T00:00:00,2021-10-12,,2020-11-13,Wilde,6198,600000.0,2024-09-26,new construction wood frame,issued,,202011138809,033,Av,1.0,2,2.0,10,235,POINT (-122.4015937423439 37.71595712617778),333.0,2021,6198033
1603838198083,2021-10-12,94134,Visitacion Valley,1 family dwelling,"to erect 2 stories, no basement, type v-b, single family dwelling.",600000.0,True,2,2020-11-13T00:00:00,2021-10-12,,2020-11-13,Wilde,6198,600000.0,2024-09-26,new construction wood frame,issued,,202011138806,033,Av,1.0,2,2.0,10,231,POINT (-122.4015937423439 37.71595712617778),333.0,2021,6198033
1601768517501,2021-11-22,94103,South of Market,apartments,"to erect a 8-story, type 1b, mixed use bldg with 221 residential unit, no basement. **comply to maher, route to dph**",82127000.0,True,2,2020-10-19T00:00:00,2021-11-22,,2020-10-19,07th,3783,82127000.0,2027-10-22,new construction,issued,,202010196871,010,St,221.0,1,8.0,6,600,POINT (-122.4031401915331 37.77250788191084),399.0,2021,3783010
1600331374394,2021-08-20,94118,Inner Richmond,apartments,"100% affordable housing. to erect a type 1-a, 7-story, 98 senior residential units over ground floor commerical space. open space includes a rear yard and two 7th floor open spaces. all units are adaptable or mobility units. to be on 3 lots 1438-017a, 017 and 016.",44800000.0,True,2,2020-09-30T00:00:00,2021-08-20,,2020-09-30,Geary,1438,44800000.0,2027-07-20,new construction,issued,,202009305561,017A,Bl,98.0,1,7.0,1,4200,POINT (-122.4646121385766 37.78131424382293),324.0,2021,1438017A
1609889518053,2021-02-17,94122,Inner Sunset,1 family dwelling,"(rear of (e) lot with an (e) r-3/28 structure in the westly portion of lot) build 1 new ~500sf building (per ordinance 162-16) in back yard per site plan a 1-story, type v-b single family dwelling with a peak height of 14'-8"".",90000.0,False,2,2020-08-18T00:00:00,2021-02-17,,2020-08-18,09th,1855,50000.0,2022-02-12,new construction wood frame,issued,,202008182040,011,Av,1.0,2,1.0,7,1559,POINT (-122.4663014348202 37.75919365062805),183.0,2021,1855011
